record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.017066,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.24,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
3,Load_Recovery_Image,PASS,PASS,,PASS,11.89,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
4,Load_LFS_EXT_Asset,PASS,PASS,,PASS,19.86,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
5,Flash_STLink,PASS,PASS,,PASS,8.95,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
6,FW_Version,2023.15.105,2023.15.105,,2023.15.105,4.071852,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
7,Hw_Version,Solar,Solar,,Solar,3.062039,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
8,lte_modem_status,PASS,PASS,,PASS,12.090208,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
9,temp_by_mcu_sensor_Vbatt,10,40,C,28.000,3.097997,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
10,Power_Rail_Enable,PASS,PASS,,PASS,4.064188,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
11,Voltage_PP4V2_SYS,3.6,3.8,V,3.681100,0.247128,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
12,Voltage_PP1V8_LDO,1.76,1.85,V,1.806760,0.247624,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
13,Voltage_PP5V0,4.85,5.15,V,5.011620,0.239431,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,12.083403,0.257215,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
15,Voltage_DUT_PP12V0,11.3,12.3,V,11.819581,0.258722,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
16,nor_flash,PASS,PASS,,PASS,6.084276,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
17,lock_status,PASS,PASS,,PASS,5.066695,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
18,TEST_Clowlock_Lock,PASS,PASS,,PASS,0.324938,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
19,unlock_status,PASS,PASS,,PASS,5.068816,PASS,PASS,0,FK2316MMBP2AA0266,2023-05-04 12:43:59,2023-05-04 12:48:39,STT234MM01,monolith_main_bft,10023100
