record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.007089,PASS,PASS,0,FK2316MMBP2AA0347,2023-05-04 17:09:06,2023-05-04 17:13:38,STT234MM01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.24,PASS,PASS,0,FK2316MMBP2AA0347,2023-05-04 17:09:06,2023-05-04 17:13:38,STT234MM01,monolith_main_bft,10023100
3,Load_Recovery_Image,PASS,PASS,,PASS,11.14,PASS,PASS,0,FK2316MMBP2AA0347,2023-05-04 17:09:06,2023-05-04 17:13:38,STT234MM01,monolith_main_bft,10023100
4,Load_LFS_EXT_Asset,PASS,PASS,,PASS,18.79,PASS,PASS,0,FK2316MMBP2AA0347,2023-05-04 17:09:06,2023-05-04 17:13:38,STT234MM01,monolith_main_bft,10023100
5,Flash_STLink,PASS,PASS,,PASS,8.72,PASS,PASS,0,FK2316MMBP2AA0347,2023-05-04 17:09:06,2023-05-04 17:13:38,STT234MM01,monolith_main_bft,10023100
6,FW_Version,2023.15.105,2023.15.105,,2023.15.105,4.083249,PASS,PASS,0,FK2316MMBP2AA0347,2023-05-04 17:09:06,2023-05-04 17:13:38,STT234MM01,monolith_main_bft,10023100
7,Hw_Version,Solar,Solar,,Solar,3.062671,PASS,PASS,0,FK2316MMBP2AA0347,2023-05-04 17:09:06,2023-05-04 17:13:38,STT234MM01,monolith_main_bft,10023100
8,lte_modem_status,PASS,PASS,,PASS,12.070407,PASS,PASS,0,FK2316MMBP2AA0347,2023-05-04 17:09:06,2023-05-04 17:13:38,STT234MM01,monolith_main_bft,10023100
9,temp_by_mcu_sensor_Vbatt,10,40,C,29.000,3.099468,PASS,PASS,0,FK2316MMBP2AA0347,2023-05-04 17:09:06,2023-05-04 17:13:38,STT234MM01,monolith_main_bft,10023100
10,Power_Rail_Enable,PASS,PASS,,PASS,4.080105,PASS,PASS,0,FK2316MMBP2AA0347,2023-05-04 17:09:06,2023-05-04 17:13:38,STT234MM01,monolith_main_bft,10023100
11,Voltage_PP4V2_SYS,3.6,3.8,V,3.673130,0.238375,PASS,PASS,0,FK2316MMBP2AA0347,2023-05-04 17:09:06,2023-05-04 17:13:38,STT234MM01,monolith_main_bft,10023100
