record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.014985,PASS,PASS,0,FK2316MMBP2AA0314,2023-05-04 15:37:22,2023-05-04 15:41:56,STT234MM01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.23,PASS,PASS,0,FK2316MMBP2AA0314,2023-05-04 15:37:22,2023-05-04 15:41:56,STT234MM01,monolith_main_bft,10023100
3,Load_Recovery_Image,PASS,PASS,,PASS,11.02,PASS,PASS,0,FK2316MMBP2AA0314,2023-05-04 15:37:22,2023-05-04 15:41:56,STT234MM01,monolith_main_bft,10023100
4,Load_LFS_EXT_Asset,PASS,PASS,,PASS,18.63,PASS,PASS,0,FK2316MMBP2AA0314,2023-05-04 15:37:22,2023-05-04 15:41:56,STT234MM01,monolith_main_bft,10023100
5,Flash_STLink,PASS,PASS,,PASS,8.75,PASS,PASS,0,FK2316MMBP2AA0314,2023-05-04 15:37:22,2023-05-04 15:41:56,STT234MM01,monolith_main_bft,10023100
6,FW_Version,2023.15.105,2023.15.105,,2023.15.105,4.085925,PASS,PASS,0,FK2316MMBP2AA0314,2023-05-04 15:37:22,2023-05-04 15:41:56,STT234MM01,monolith_main_bft,10023100
7,Hw_Version,Solar,Solar,,Solar,3.100744,PASS,PASS,0,FK2316MMBP2AA0314,2023-05-04 15:37:22,2023-05-04 15:41:56,STT234MM01,monolith_main_bft,10023100
8,lte_modem_status,PASS,PASS,,PASS,12.071900,PASS,PASS,0,FK2316MMBP2AA0314,2023-05-04 15:37:22,2023-05-04 15:41:56,STT234MM01,monolith_main_bft,10023100
9,temp_by_mcu_sensor_Vbatt,10,40,C,27.000,3.102714,PASS,PASS,0,FK2316MMBP2AA0314,2023-05-04 15:37:22,2023-05-04 15:41:56,STT234MM01,monolith_main_bft,10023100
10,Power_Rail_Enable,PASS,PASS,,PASS,4.064763,PASS,PASS,0,FK2316MMBP2AA0314,2023-05-04 15:37:22,2023-05-04 15:41:56,STT234MM01,monolith_main_bft,10023100
