record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,I2C2Temp,20,35,C,26.8,0.8,PASS,FAIL,F200012,566C8C26-4962-43B0-90D5-89777A335628,12345678901234567,2024-04-30 11:58:20,2024-04-30 11:59:20,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
2,I2C2Tempoff,-3,3,C,PASS,0,PASS,FAIL,F200012,566C8C26-4962-43B0-90D5-89777A335628,12345678901234567,2024-04-30 11:58:20,2024-04-30 11:59:20,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
3,I2C2Humidity,10,90,%,46,0,PASS,FAIL,F200012,566C8C26-4962-43B0-90D5-89777A335628,12345678901234567,2024-04-30 11:58:20,2024-04-30 11:59:20,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
4,WEKE_DET_ADC,2400,2700,mV,2583,0.2,PASS,FAIL,F200012,566C8C26-4962-43B0-90D5-89777A335628,12345678901234567,2024-04-30 11:58:20,2024-04-30 11:59:20,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
5,NTC9Temp,20,35,C,25,0.5,PASS,FAIL,F200012,566C8C26-4962-43B0-90D5-89777A335628,12345678901234567,2024-04-30 11:58:20,2024-04-30 11:59:20,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
6,NTC9Tempoff,-3,3,C,0.670000000000002,0,PASS,FAIL,F200012,566C8C26-4962-43B0-90D5-89777A335628,12345678901234567,2024-04-30 11:58:20,2024-04-30 11:59:20,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
7,NTC9_LOW,0,30,mV,0,0.4,PASS,FAIL,F200012,566C8C26-4962-43B0-90D5-89777A335628,12345678901234567,2024-04-30 11:58:20,2024-04-30 11:59:20,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
8,NTC8_LOW,0,30,mV,0,0.4,PASS,FAIL,F200012,566C8C26-4962-43B0-90D5-89777A335628,12345678901234567,2024-04-30 11:58:20,2024-04-30 11:59:20,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
9,NTC7Temp,20,35,C,25,0.6,PASS,FAIL,F200012,566C8C26-4962-43B0-90D5-89777A335628,12345678901234567,2024-04-30 11:58:20,2024-04-30 11:59:20,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
10,NTC7Tempoff,-3,3,C,0.670000000000002,0,PASS,FAIL,F200012,566C8C26-4962-43B0-90D5-89777A335628,12345678901234567,2024-04-30 11:58:20,2024-04-30 11:59:20,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
11,NTC7_LOW,0,30,mV,0,0.4,PASS,FAIL,F200012,566C8C26-4962-43B0-90D5-89777A335628,12345678901234567,2024-04-30 11:58:20,2024-04-30 11:59:20,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
12,AFE_ALERT,PASS,PASS,,PASS,0.4,PASS,FAIL,F200012,566C8C26-4962-43B0-90D5-89777A335628,12345678901234567,2024-04-30 11:58:20,2024-04-30 11:59:20,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
13,ISNS_PACK_ADC,1620,1680,mV,1640,0.4,PASS,FAIL,F200012,566C8C26-4962-43B0-90D5-89777A335628,12345678901234567,2024-04-30 11:58:20,2024-04-30 11:59:20,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
14,CHARGER_NTC,2900,3100,mV,3030,10.7,PASS,FAIL,F200012,566C8C26-4962-43B0-90D5-89777A335628,12345678901234567,2024-04-30 11:58:20,2024-04-30 11:59:20,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
15,FetStatus_DSG,PASS,PASS,,PASS,2.2,PASS,FAIL,F200012,566C8C26-4962-43B0-90D5-89777A335628,12345678901234567,2024-04-30 11:58:20,2024-04-30 11:59:20,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
16,Pack+_ADC,FAIL,FAIL,mV,38099,42.3,FAIL,FAIL,F200012,566C8C26-4962-43B0-90D5-89777A335628,12345678901234567,2024-04-30 11:58:20,2024-04-30 11:59:20,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
