record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.234232,PASS,PASS,0,69A9AC1E-4CFE-4EDB-9673-87958DC35981,FK2325MFAT2AA003D,2023-06-24 09:29:41,2023-06-24 09:32:44,STA236YM5301,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.091385,PASS,PASS,0,69A9AC1E-4CFE-4EDB-9673-87958DC35981,FK2325MFAT2AA003D,2023-06-24 09:29:41,2023-06-24 09:32:44,STA236YM5301,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.911489,PASS,PASS,0,69A9AC1E-4CFE-4EDB-9673-87958DC35981,FK2325MFAT2AA003D,2023-06-24 09:29:41,2023-06-24 09:32:44,STA236YM5301,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.926485,PASS,PASS,0,69A9AC1E-4CFE-4EDB-9673-87958DC35981,FK2325MFAT2AA003D,2023-06-24 09:29:41,2023-06-24 09:32:44,STA236YM5301,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.941446,PASS,PASS,0,69A9AC1E-4CFE-4EDB-9673-87958DC35981,FK2325MFAT2AA003D,2023-06-24 09:29:41,2023-06-24 09:32:44,STA236YM5301,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.961493,PASS,PASS,0,69A9AC1E-4CFE-4EDB-9673-87958DC35981,FK2325MFAT2AA003D,2023-06-24 09:29:41,2023-06-24 09:32:44,STA236YM5301,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.107359,PASS,PASS,0,69A9AC1E-4CFE-4EDB-9673-87958DC35981,FK2325MFAT2AA003D,2023-06-24 09:29:41,2023-06-24 09:32:44,STA236YM5301,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.122297,PASS,PASS,0,69A9AC1E-4CFE-4EDB-9673-87958DC35981,FK2325MFAT2AA003D,2023-06-24 09:29:41,2023-06-24 09:32:44,STA236YM5301,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.593,0.000000,PASS,PASS,0,69A9AC1E-4CFE-4EDB-9673-87958DC35981,FK2325MFAT2AA003D,2023-06-24 09:29:41,2023-06-24 09:32:44,STA236YM5301,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,69A9AC1E-4CFE-4EDB-9673-87958DC35981,FK2325MFAT2AA003D,2023-06-24 09:29:41,2023-06-24 09:32:44,STA236YM5301,monolith_bollard_ft,10023020
