record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Test_voltage,7,9,V,7.768600,0.456291,PASS,FAIL,0,A1D55F81-4E82-4823-9C85-4C024CA8FDD5,DEDKC12FBSAF0575,2023-06-26 19:34:58,2023-06-26 19:35:22,YYYY,monolith_solar_panel_right_ft,10023161
2,Test_first_temp_1,23,30,C,26.6,0.000000,PASS,FAIL,0,A1D55F81-4E82-4823-9C85-4C024CA8FDD5,DEDKC12FBSAF0575,2023-06-26 19:34:58,2023-06-26 19:35:22,YYYY,monolith_solar_panel_right_ft,10023161
3,Test_first_temp_2,23,30,C,26.6,0.000000,PASS,FAIL,0,A1D55F81-4E82-4823-9C85-4C024CA8FDD5,DEDKC12FBSAF0575,2023-06-26 19:34:58,2023-06-26 19:35:22,YYYY,monolith_solar_panel_right_ft,10023161
4,Test_Current,0.1,0.15,A,0.115827,4.237175,PASS,FAIL,0,A1D55F81-4E82-4823-9C85-4C024CA8FDD5,DEDKC12FBSAF0575,2023-06-26 19:34:58,2023-06-26 19:35:22,YYYY,monolith_solar_panel_right_ft,10023161
5,Test__Count_Power,0.9,1.2,W,0.899816,0.000000,FAIL,FAIL,0,A1D55F81-4E82-4823-9C85-4C024CA8FDD5,DEDKC12FBSAF0575,2023-06-26 19:34:58,2023-06-26 19:35:22,YYYY,monolith_solar_panel_right_ft,10023161
6,Test_second_temp_1,23,30,C,26.6,0.000000,PASS,FAIL,0,A1D55F81-4E82-4823-9C85-4C024CA8FDD5,DEDKC12FBSAF0575,2023-06-26 19:34:58,2023-06-26 19:35:22,YYYY,monolith_solar_panel_right_ft,10023161
7,Test_second_temp_2,23,30,C,26.6,0.000000,PASS,FAIL,0,A1D55F81-4E82-4823-9C85-4C024CA8FDD5,DEDKC12FBSAF0575,2023-06-26 19:34:58,2023-06-26 19:35:22,YYYY,monolith_solar_panel_right_ft,10023161
8,Read_MES_Flat_TEMP1,23,30,C,27.2,0.000000,PASS,FAIL,0,A1D55F81-4E82-4823-9C85-4C024CA8FDD5,DEDKC12FBSAF0575,2023-06-26 19:34:58,2023-06-26 19:35:22,YYYY,monolith_solar_panel_right_ft,10023161
9,Read_MES_Flat_TEMP2,23,30,C,27.2,0.000000,PASS,FAIL,0,A1D55F81-4E82-4823-9C85-4C024CA8FDD5,DEDKC12FBSAF0575,2023-06-26 19:34:58,2023-06-26 19:35:22,YYYY,monolith_solar_panel_right_ft,10023161
10,Read_MES_Flat_Voltage,7.5,9,V,7.845123,0.000000,PASS,FAIL,0,A1D55F81-4E82-4823-9C85-4C024CA8FDD5,DEDKC12FBSAF0575,2023-06-26 19:34:58,2023-06-26 19:35:22,YYYY,monolith_solar_panel_right_ft,10023161
11,Read_MES_Flat_Current,0.1,0.15,A,0.117822,0.000000,PASS,FAIL,0,A1D55F81-4E82-4823-9C85-4C024CA8FDD5,DEDKC12FBSAF0575,2023-06-26 19:34:58,2023-06-26 19:35:22,YYYY,monolith_solar_panel_right_ft,10023161
12,Power_difference,0,0.05,W,0.024512,0.000000,PASS,FAIL,0,A1D55F81-4E82-4823-9C85-4C024CA8FDD5,DEDKC12FBSAF0575,2023-06-26 19:34:58,2023-06-26 19:35:22,YYYY,monolith_solar_panel_right_ft,10023161
13,Power_percentage_drop,0,0.05,,0.027241,0.000000,PASS,FAIL,0,A1D55F81-4E82-4823-9C85-4C024CA8FDD5,DEDKC12FBSAF0575,2023-06-26 19:34:58,2023-06-26 19:35:22,YYYY,monolith_solar_panel_right_ft,10023161
