record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Test_voltage,7,9,V,7.719458,0.508640,PASS,FAIL,0,7DD289D1-D5CC-4D5E-BECC-3131950CB8FC,DEDKC12FBSAF0146,2023-06-19 15:32:56,2023-06-19 15:33:18,YYYY,monolith_solar_panel_right_ft,10023161
2,Test_first_temp_1,23,30,C,26.9,0.000000,PASS,FAIL,0,7DD289D1-D5CC-4D5E-BECC-3131950CB8FC,DEDKC12FBSAF0146,2023-06-19 15:32:56,2023-06-19 15:33:18,YYYY,monolith_solar_panel_right_ft,10023161
3,Test_first_temp_2,23,30,C,26.9,0.000000,PASS,FAIL,0,7DD289D1-D5CC-4D5E-BECC-3131950CB8FC,DEDKC12FBSAF0146,2023-06-19 15:32:56,2023-06-19 15:33:18,YYYY,monolith_solar_panel_right_ft,10023161
4,Test_Current,0.1,0.15,A,0.121874,4.337399,PASS,FAIL,0,7DD289D1-D5CC-4D5E-BECC-3131950CB8FC,DEDKC12FBSAF0146,2023-06-19 15:32:56,2023-06-19 15:33:18,YYYY,monolith_solar_panel_right_ft,10023161
5,Test__Count_Power,0.9,1.2,W,0.940803,0.000000,PASS,FAIL,0,7DD289D1-D5CC-4D5E-BECC-3131950CB8FC,DEDKC12FBSAF0146,2023-06-19 15:32:56,2023-06-19 15:33:18,YYYY,monolith_solar_panel_right_ft,10023161
6,Test_second_temp_1,23,30,C,27.0,0.000000,PASS,FAIL,0,7DD289D1-D5CC-4D5E-BECC-3131950CB8FC,DEDKC12FBSAF0146,2023-06-19 15:32:56,2023-06-19 15:33:18,YYYY,monolith_solar_panel_right_ft,10023161
7,Test_second_temp_2,23,30,C,27.0,0.000000,PASS,FAIL,0,7DD289D1-D5CC-4D5E-BECC-3131950CB8FC,DEDKC12FBSAF0146,2023-06-19 15:32:56,2023-06-19 15:33:18,YYYY,monolith_solar_panel_right_ft,10023161
8,Read_MES_Flat_TEMP1,23,30,C,27.1,0.000000,PASS,FAIL,0,7DD289D1-D5CC-4D5E-BECC-3131950CB8FC,DEDKC12FBSAF0146,2023-06-19 15:32:56,2023-06-19 15:33:18,YYYY,monolith_solar_panel_right_ft,10023161
9,Read_MES_Flat_TEMP2,23,30,C,27.1,0.000000,PASS,FAIL,0,7DD289D1-D5CC-4D5E-BECC-3131950CB8FC,DEDKC12FBSAF0146,2023-06-19 15:32:56,2023-06-19 15:33:18,YYYY,monolith_solar_panel_right_ft,10023161
10,Read_MES_Flat_Voltage,7.5,9,V,7.808391,0.000000,PASS,FAIL,0,7DD289D1-D5CC-4D5E-BECC-3131950CB8FC,DEDKC12FBSAF0146,2023-06-19 15:32:56,2023-06-19 15:33:18,YYYY,monolith_solar_panel_right_ft,10023161
11,Read_MES_Flat_Current,0.12,0.15,A,0.123453,0.000000,PASS,FAIL,0,7DD289D1-D5CC-4D5E-BECC-3131950CB8FC,DEDKC12FBSAF0146,2023-06-19 15:32:56,2023-06-19 15:33:18,YYYY,monolith_solar_panel_right_ft,10023161
12,Power_difference,0,0.05,W,0.023166,0.000000,PASS,FAIL,0,7DD289D1-D5CC-4D5E-BECC-3131950CB8FC,DEDKC12FBSAF0146,2023-06-19 15:32:56,2023-06-19 15:33:18,YYYY,monolith_solar_panel_right_ft,10023161
13,Power_percentage_drop,0,0.05,,0.024624,0.000000,PASS,FAIL,0,7DD289D1-D5CC-4D5E-BECC-3131950CB8FC,DEDKC12FBSAF0146,2023-06-19 15:32:56,2023-06-19 15:33:18,YYYY,monolith_solar_panel_right_ft,10023161
