record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.004998,PASS,PASS,0,5255A4BA-1B48-41F0-9A9E-029A655FB4B4,FK2323MCAM2AA01E9,2023-06-17 12:53:34,2023-06-17 12:57:01,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.226299,PASS,PASS,0,5255A4BA-1B48-41F0-9A9E-029A655FB4B4,FK2323MCAM2AA01E9,2023-06-17 12:53:34,2023-06-17 12:57:01,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.898476,PASS,PASS,0,5255A4BA-1B48-41F0-9A9E-029A655FB4B4,FK2323MCAM2AA01E9,2023-06-17 12:53:34,2023-06-17 12:57:01,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.933434,PASS,PASS,0,5255A4BA-1B48-41F0-9A9E-029A655FB4B4,FK2323MCAM2AA01E9,2023-06-17 12:53:34,2023-06-17 12:57:01,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.110356,PASS,PASS,0,5255A4BA-1B48-41F0-9A9E-029A655FB4B4,FK2323MCAM2AA01E9,2023-06-17 12:53:34,2023-06-17 12:57:01,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.573,0.000000,PASS,PASS,0,5255A4BA-1B48-41F0-9A9E-029A655FB4B4,FK2323MCAM2AA01E9,2023-06-17 12:53:34,2023-06-17 12:57:01,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,5255A4BA-1B48-41F0-9A9E-029A655FB4B4,FK2323MCAM2AA01E9,2023-06-17 12:53:34,2023-06-17 12:57:01,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.094376,PASS,PASS,0,5255A4BA-1B48-41F0-9A9E-029A655FB4B4,FK2323MCAM2AA01E9,2023-06-17 12:53:34,2023-06-17 12:57:01,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,26.000,1.131353,PASS,PASS,0,5255A4BA-1B48-41F0-9A9E-029A655FB4B4,FK2323MCAM2AA01E9,2023-06-17 12:53:34,2023-06-17 12:57:01,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,91.700000,0.693700,PASS,PASS,0,5255A4BA-1B48-41F0-9A9E-029A655FB4B4,FK2323MCAM2AA01E9,2023-06-17 12:53:34,2023-06-17 12:57:01,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000927,PASS,PASS,0,5255A4BA-1B48-41F0-9A9E-029A655FB4B4,FK2323MCAM2AA01E9,2023-06-17 12:53:34,2023-06-17 12:57:01,STQ236YM4103,monolith_cassette_ft,10023023
