record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.016023,PASS,PASS,0,42C02EDC-54EA-407B-A49B-E11B9580A3BD,FK2316MMBP2AA0593,2023-05-06 19:10:02,2023-05-06 19:14:32,STT234MM01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.23,PASS,PASS,0,42C02EDC-54EA-407B-A49B-E11B9580A3BD,FK2316MMBP2AA0593,2023-05-06 19:10:02,2023-05-06 19:14:32,STT234MM01,monolith_main_bft,10023100
3,Load_Recovery_Image,PASS,PASS,,PASS,10.45,PASS,PASS,0,42C02EDC-54EA-407B-A49B-E11B9580A3BD,FK2316MMBP2AA0593,2023-05-06 19:10:02,2023-05-06 19:14:32,STT234MM01,monolith_main_bft,10023100
4,Load_LFS_EXT_Asset,PASS,PASS,,PASS,17.60,PASS,PASS,0,42C02EDC-54EA-407B-A49B-E11B9580A3BD,FK2316MMBP2AA0593,2023-05-06 19:10:02,2023-05-06 19:14:32,STT234MM01,monolith_main_bft,10023100
5,Flash_STLink,PASS,PASS,,PASS,8.73,PASS,PASS,0,42C02EDC-54EA-407B-A49B-E11B9580A3BD,FK2316MMBP2AA0593,2023-05-06 19:10:02,2023-05-06 19:14:32,STT234MM01,monolith_main_bft,10023100
6,FW_Version,2023.15.105,2023.15.105,,2023.15.105,4.085039,PASS,PASS,0,42C02EDC-54EA-407B-A49B-E11B9580A3BD,FK2316MMBP2AA0593,2023-05-06 19:10:02,2023-05-06 19:14:32,STT234MM01,monolith_main_bft,10023100
7,Hw_Version,Solar,Solar,,Solar,3.070652,PASS,PASS,0,42C02EDC-54EA-407B-A49B-E11B9580A3BD,FK2316MMBP2AA0593,2023-05-06 19:10:02,2023-05-06 19:14:32,STT234MM01,monolith_main_bft,10023100
8,lte_modem_status,PASS,PASS,,PASS,12.088112,PASS,PASS,0,42C02EDC-54EA-407B-A49B-E11B9580A3BD,FK2316MMBP2AA0593,2023-05-06 19:10:02,2023-05-06 19:14:32,STT234MM01,monolith_main_bft,10023100
9,temp_by_mcu_sensor_Vbatt,10,40,C,28.000,3.095392,PASS,PASS,0,42C02EDC-54EA-407B-A49B-E11B9580A3BD,FK2316MMBP2AA0593,2023-05-06 19:10:02,2023-05-06 19:14:32,STT234MM01,monolith_main_bft,10023100
10,Power_Rail_Enable,PASS,PASS,,PASS,4.084085,PASS,PASS,0,42C02EDC-54EA-407B-A49B-E11B9580A3BD,FK2316MMBP2AA0593,2023-05-06 19:10:02,2023-05-06 19:14:32,STT234MM01,monolith_main_bft,10023100
