record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.016997,PASS,PASS,0,C27833A5-BCEF-49B1-AEB5-6950D7B32710,FK2323MCAM2AA015E,2023-06-16 08:54:11,2023-06-16 08:57:37,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.225285,PASS,PASS,0,C27833A5-BCEF-49B1-AEB5-6950D7B32710,FK2323MCAM2AA015E,2023-06-16 08:54:11,2023-06-16 08:57:37,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.891475,PASS,PASS,0,C27833A5-BCEF-49B1-AEB5-6950D7B32710,FK2323MCAM2AA015E,2023-06-16 08:54:11,2023-06-16 08:57:37,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.929453,PASS,PASS,0,C27833A5-BCEF-49B1-AEB5-6950D7B32710,FK2323MCAM2AA015E,2023-06-16 08:54:11,2023-06-16 08:57:37,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.089389,PASS,PASS,0,C27833A5-BCEF-49B1-AEB5-6950D7B32710,FK2323MCAM2AA015E,2023-06-16 08:54:11,2023-06-16 08:57:37,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.558,0.000000,PASS,PASS,0,C27833A5-BCEF-49B1-AEB5-6950D7B32710,FK2323MCAM2AA015E,2023-06-16 08:54:11,2023-06-16 08:57:37,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,C27833A5-BCEF-49B1-AEB5-6950D7B32710,FK2323MCAM2AA015E,2023-06-16 08:54:11,2023-06-16 08:57:37,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.101357,PASS,PASS,0,C27833A5-BCEF-49B1-AEB5-6950D7B32710,FK2323MCAM2AA015E,2023-06-16 08:54:11,2023-06-16 08:57:37,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,27.000,1.128341,PASS,PASS,0,C27833A5-BCEF-49B1-AEB5-6950D7B32710,FK2323MCAM2AA015E,2023-06-16 08:54:11,2023-06-16 08:57:37,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,90.800000,0.696775,PASS,PASS,0,C27833A5-BCEF-49B1-AEB5-6950D7B32710,FK2323MCAM2AA015E,2023-06-16 08:54:11,2023-06-16 08:57:37,STQ236YM4103,monolith_cassette_ft,10023023
