record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.017971,PASS,PASS,0,932B878D-2535-424E-B256-847C76A30FA3,FK2323MCAM2AA00C1,2023-06-14 18:43:06,2023-06-14 18:46:32,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.213269,PASS,PASS,0,932B878D-2535-424E-B256-847C76A30FA3,FK2323MCAM2AA00C1,2023-06-14 18:43:06,2023-06-14 18:46:32,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.893477,PASS,PASS,0,932B878D-2535-424E-B256-847C76A30FA3,FK2323MCAM2AA00C1,2023-06-14 18:43:06,2023-06-14 18:46:32,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.942457,PASS,PASS,0,932B878D-2535-424E-B256-847C76A30FA3,FK2323MCAM2AA00C1,2023-06-14 18:43:06,2023-06-14 18:46:32,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.095363,PASS,PASS,0,932B878D-2535-424E-B256-847C76A30FA3,FK2323MCAM2AA00C1,2023-06-14 18:43:06,2023-06-14 18:46:32,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.573,0.0,PASS,PASS,0,932B878D-2535-424E-B256-847C76A30FA3,FK2323MCAM2AA00C1,2023-06-14 18:43:06,2023-06-14 18:46:32,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.0,PASS,PASS,0,932B878D-2535-424E-B256-847C76A30FA3,FK2323MCAM2AA00C1,2023-06-14 18:43:06,2023-06-14 18:46:32,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.091357,PASS,PASS,0,932B878D-2535-424E-B256-847C76A30FA3,FK2323MCAM2AA00C1,2023-06-14 18:43:06,2023-06-14 18:46:32,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,28.000,1.122343,PASS,PASS,0,932B878D-2535-424E-B256-847C76A30FA3,FK2323MCAM2AA00C1,2023-06-14 18:43:06,2023-06-14 18:46:32,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,92.400000,0.693565,PASS,PASS,0,932B878D-2535-424E-B256-847C76A30FA3,FK2323MCAM2AA00C1,2023-06-14 18:43:06,2023-06-14 18:46:32,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000314,PASS,PASS,0,932B878D-2535-424E-B256-847C76A30FA3,FK2323MCAM2AA00C1,2023-06-14 18:43:06,2023-06-14 18:46:32,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,2.999323,PASS,PASS,0,932B878D-2535-424E-B256-847C76A30FA3,FK2323MCAM2AA00C1,2023-06-14 18:43:06,2023-06-14 18:46:32,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-16.516701,3.062212,PASS,PASS,0,932B878D-2535-424E-B256-847C76A30FA3,FK2323MCAM2AA00C1,2023-06-14 18:43:06,2023-06-14 18:46:32,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.058425,PASS,PASS,0,932B878D-2535-424E-B256-847C76A30FA3,FK2323MCAM2AA00C1,2023-06-14 18:43:06,2023-06-14 18:46:32,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-38.467575,3.067336,PASS,PASS,0,932B878D-2535-424E-B256-847C76A30FA3,FK2323MCAM2AA00C1,2023-06-14 18:43:06,2023-06-14 18:46:32,STQ236YM4103,monolith_cassette_ft,10023023
