record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.016005,PASS,PASS,0,B230405F-7FAC-43DA-9A34-6647562B8D21,FK2323MCAM2AA0158,2023-06-16 09:31:18,2023-06-16 09:34:44,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.228259,PASS,PASS,0,B230405F-7FAC-43DA-9A34-6647562B8D21,FK2323MCAM2AA0158,2023-06-16 09:31:18,2023-06-16 09:34:44,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.897491,PASS,PASS,0,B230405F-7FAC-43DA-9A34-6647562B8D21,FK2323MCAM2AA0158,2023-06-16 09:31:18,2023-06-16 09:34:44,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.921473,PASS,PASS,0,B230405F-7FAC-43DA-9A34-6647562B8D21,FK2323MCAM2AA0158,2023-06-16 09:31:18,2023-06-16 09:34:44,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.093364,PASS,PASS,0,B230405F-7FAC-43DA-9A34-6647562B8D21,FK2323MCAM2AA0158,2023-06-16 09:31:18,2023-06-16 09:34:44,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.580,0.000000,PASS,PASS,0,B230405F-7FAC-43DA-9A34-6647562B8D21,FK2323MCAM2AA0158,2023-06-16 09:31:18,2023-06-16 09:34:44,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091673.0,0.000000,PASS,PASS,0,B230405F-7FAC-43DA-9A34-6647562B8D21,FK2323MCAM2AA0158,2023-06-16 09:31:18,2023-06-16 09:34:44,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.089364,PASS,PASS,0,B230405F-7FAC-43DA-9A34-6647562B8D21,FK2323MCAM2AA0158,2023-06-16 09:31:18,2023-06-16 09:34:44,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,26.000,1.131360,PASS,PASS,0,B230405F-7FAC-43DA-9A34-6647562B8D21,FK2323MCAM2AA0158,2023-06-16 09:31:18,2023-06-16 09:34:44,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,92.200000,0.694881,PASS,PASS,0,B230405F-7FAC-43DA-9A34-6647562B8D21,FK2323MCAM2AA0158,2023-06-16 09:31:18,2023-06-16 09:34:44,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000101,PASS,PASS,0,B230405F-7FAC-43DA-9A34-6647562B8D21,FK2323MCAM2AA0158,2023-06-16 09:31:18,2023-06-16 09:34:44,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000115,PASS,PASS,0,B230405F-7FAC-43DA-9A34-6647562B8D21,FK2323MCAM2AA0158,2023-06-16 09:31:18,2023-06-16 09:34:44,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-21.867294,3.036350,PASS,PASS,0,B230405F-7FAC-43DA-9A34-6647562B8D21,FK2323MCAM2AA0158,2023-06-16 09:31:18,2023-06-16 09:34:44,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.059463,PASS,PASS,0,B230405F-7FAC-43DA-9A34-6647562B8D21,FK2323MCAM2AA0158,2023-06-16 09:31:18,2023-06-16 09:34:44,STQ236YM4103,monolith_cassette_ft,10023023
