record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.004011,PASS,PASS,0,431562F4-9C14-4FF0-B8E5-B36B0E4A3E5D,FK2323MCAM2AA0213,2023-06-17 20:35:27,2023-06-17 20:38:52,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.229295,PASS,PASS,0,431562F4-9C14-4FF0-B8E5-B36B0E4A3E5D,FK2323MCAM2AA0213,2023-06-17 20:35:27,2023-06-17 20:38:52,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.928456,PASS,PASS,0,431562F4-9C14-4FF0-B8E5-B36B0E4A3E5D,FK2323MCAM2AA0213,2023-06-17 20:35:27,2023-06-17 20:38:52,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.949447,PASS,PASS,0,431562F4-9C14-4FF0-B8E5-B36B0E4A3E5D,FK2323MCAM2AA0213,2023-06-17 20:35:27,2023-06-17 20:38:52,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.092358,PASS,PASS,0,431562F4-9C14-4FF0-B8E5-B36B0E4A3E5D,FK2323MCAM2AA0213,2023-06-17 20:35:27,2023-06-17 20:38:52,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.555,0.000000,PASS,PASS,0,431562F4-9C14-4FF0-B8E5-B36B0E4A3E5D,FK2323MCAM2AA0213,2023-06-17 20:35:27,2023-06-17 20:38:52,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,431562F4-9C14-4FF0-B8E5-B36B0E4A3E5D,FK2323MCAM2AA0213,2023-06-17 20:35:27,2023-06-17 20:38:52,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.111345,PASS,PASS,0,431562F4-9C14-4FF0-B8E5-B36B0E4A3E5D,FK2323MCAM2AA0213,2023-06-17 20:35:27,2023-06-17 20:38:52,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,27.000,1.129353,PASS,PASS,0,431562F4-9C14-4FF0-B8E5-B36B0E4A3E5D,FK2323MCAM2AA0213,2023-06-17 20:35:27,2023-06-17 20:38:52,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.100000,0.700654,PASS,PASS,0,431562F4-9C14-4FF0-B8E5-B36B0E4A3E5D,FK2323MCAM2AA0213,2023-06-17 20:35:27,2023-06-17 20:38:52,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000682,PASS,PASS,0,431562F4-9C14-4FF0-B8E5-B36B0E4A3E5D,FK2323MCAM2AA0213,2023-06-17 20:35:27,2023-06-17 20:38:52,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,2.999569,PASS,PASS,0,431562F4-9C14-4FF0-B8E5-B36B0E4A3E5D,FK2323MCAM2AA0213,2023-06-17 20:35:27,2023-06-17 20:38:52,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-19.825802,3.071227,PASS,PASS,0,431562F4-9C14-4FF0-B8E5-B36B0E4A3E5D,FK2323MCAM2AA0213,2023-06-17 20:35:27,2023-06-17 20:38:52,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.059575,PASS,PASS,0,431562F4-9C14-4FF0-B8E5-B36B0E4A3E5D,FK2323MCAM2AA0213,2023-06-17 20:35:27,2023-06-17 20:38:52,STQ236YM4103,monolith_cassette_ft,10023023
