record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.002991,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.288266,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.911479,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.921472,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.090366,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.563,0.000000,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.097388,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,24.000,1.140366,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,92.200000,0.695198,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,2.999085,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000831,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-21.810730,3.065113,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.909950,3.064200,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-26.947071,3.036265,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699050,3.069838,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-23.788445,3.064534,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
18,LTE_23179_Frequency,0.7155,0.7165,GHz,0.716000,3.086507,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
19,factory_mode_off,PASS,PASS,,PASS,3.000834,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
20,modem_enable_status,PASS,PASS,,PASS,0.888482,PASS,PASS,0,D3E61E86-84B5-4134-BC64-641AB84DA07B,FK2323MCAM2AA01A5,2023-06-16 16:06:51,2023-06-16 16:10:18,STQ236YM4103,monolith_cassette_ft,10023023
