record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.011048,PASS,FAIL,201044,5DD4C13C-B365-4994-B354-C737F18DEEA5,FK2323MCAM2AA0027,2023-06-09 18:43:10,2023-06-09 18:45:21,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.211310,PASS,FAIL,201044,5DD4C13C-B365-4994-B354-C737F18DEEA5,FK2323MCAM2AA0027,2023-06-09 18:43:10,2023-06-09 18:45:21,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.884501,PASS,FAIL,201044,5DD4C13C-B365-4994-B354-C737F18DEEA5,FK2323MCAM2AA0027,2023-06-09 18:43:10,2023-06-09 18:45:21,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.933466,PASS,FAIL,201044,5DD4C13C-B365-4994-B354-C737F18DEEA5,FK2323MCAM2AA0027,2023-06-09 18:43:10,2023-06-09 18:45:21,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.085374,PASS,FAIL,201044,5DD4C13C-B365-4994-B354-C737F18DEEA5,FK2323MCAM2AA0027,2023-06-09 18:43:10,2023-06-09 18:45:21,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.563,0.000000,PASS,FAIL,201044,5DD4C13C-B365-4994-B354-C737F18DEEA5,FK2323MCAM2AA0027,2023-06-09 18:43:10,2023-06-09 18:45:21,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,FAIL,201044,5DD4C13C-B365-4994-B354-C737F18DEEA5,FK2323MCAM2AA0027,2023-06-09 18:43:10,2023-06-09 18:45:21,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.078400,PASS,FAIL,201044,5DD4C13C-B365-4994-B354-C737F18DEEA5,FK2323MCAM2AA0027,2023-06-09 18:43:10,2023-06-09 18:45:21,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,23.000,1.113363,PASS,FAIL,201044,5DD4C13C-B365-4994-B354-C737F18DEEA5,FK2323MCAM2AA0027,2023-06-09 18:43:10,2023-06-09 18:45:21,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.200000,0.699993,PASS,FAIL,201044,5DD4C13C-B365-4994-B354-C737F18DEEA5,FK2323MCAM2AA0027,2023-06-09 18:43:10,2023-06-09 18:45:21,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000775,PASS,FAIL,201044,5DD4C13C-B365-4994-B354-C737F18DEEA5,FK2323MCAM2AA0027,2023-06-09 18:43:10,2023-06-09 18:45:21,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,2.999897,PASS,FAIL,201044,5DD4C13C-B365-4994-B354-C737F18DEEA5,FK2323MCAM2AA0027,2023-06-09 18:43:10,2023-06-09 18:45:21,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-44,4,dBm,-18.049355,3.069129,PASS,FAIL,201044,5DD4C13C-B365-4994-B354-C737F18DEEA5,FK2323MCAM2AA0027,2023-06-09 18:43:10,2023-06-09 18:45:21,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.063052,PASS,FAIL,201044,5DD4C13C-B365-4994-B354-C737F18DEEA5,FK2323MCAM2AA0027,2023-06-09 18:43:10,2023-06-09 18:45:21,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-44,4,dBm,-47.857872,3.033983,FAIL,FAIL,201044,5DD4C13C-B365-4994-B354-C737F18DEEA5,FK2323MCAM2AA0027,2023-06-09 18:43:10,2023-06-09 18:45:21,STQ236YM4103,monolith_cassette_ft,10023023
