record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.008010,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.219249,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.887563,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.916469,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.083406,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.573,0.000000,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.084386,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,27.000,1.113375,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,92.000000,0.699375,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,2.999856,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000098,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-44,4,dBm,-22.011398,3.069204,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.065129,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-44,4,dBm,-31.792641,3.063816,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,3.063562,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
17,factory_mode_off,PASS,PASS,,PASS,3.001185,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
18,modem_enable_status,PASS,PASS,,PASS,0.877484,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
19,NFC_IN_Status,PASS,PASS,,PASS,0.100153,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
20,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.088379,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
21,NFC_Detect_Measurement,PASS,PASS,,PASS,1.085386,PASS,PASS,0,5D23DD73-6B00-4495-BCE4-5B7A8A8656C2,FK2323MCAM2AA0035,2023-06-10 09:44:52,2023-06-10 09:47:48,STQ236YM4103,monolith_cassette_ft,10023023
