record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.75,9.166141,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.5556,0.0,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.252267,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.095415,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.345222,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.097383,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.662119,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.091553,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.326457,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.089837,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.573419,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.100356,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.628158,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.216274,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.191342,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.089324,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.092324,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.149367,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,259.022567,4.288479,PASS,PASS,0,b9aa1870-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A6,2023-06-03 11:11:10,2023-06-03 11:14:18,STQ236YM3101,monolith_receiver_ft,10023006
