record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.78,9.194428,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,28.3539,0.0,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.411237,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.100204,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.132538,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.103751,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.886192,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.103714,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.189367,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.10446,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.899102,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.101928,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.831346,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.231071,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.101646,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.097889,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.150674,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.101031,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,310.626193,4.285947,PASS,PASS,0,b869dcb6-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0062,2023-06-07 10:50:29,2023-06-07 10:53:35,STQ236YM3101,monolith_receiver_ft,10023006
