record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.695,9.127029,PASS,FAIL,230032,b895ace2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A7,2023-06-03 10:53:20,2023-06-03 10:56:58,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.0764,0.0,PASS,FAIL,230032,b895ace2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A7,2023-06-03 10:53:20,2023-06-03 10:56:58,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.568085,PASS,FAIL,230032,b895ace2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A7,2023-06-03 10:53:20,2023-06-03 10:56:58,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.099358,PASS,FAIL,230032,b895ace2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A7,2023-06-03 10:53:20,2023-06-03 10:56:58,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,7.756523,PASS,FAIL,230032,b895ace2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A7,2023-06-03 10:53:20,2023-06-03 10:56:58,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.097374,PASS,FAIL,230032,b895ace2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A7,2023-06-03 10:53:20,2023-06-03 10:56:58,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,4.556839,PASS,FAIL,230032,b895ace2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A7,2023-06-03 10:53:20,2023-06-03 10:56:58,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.093355,PASS,FAIL,230032,b895ace2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A7,2023-06-03 10:53:20,2023-06-03 10:56:58,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,2.153358,PASS,FAIL,230032,b895ace2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A7,2023-06-03 10:53:20,2023-06-03 10:56:58,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.095848,PASS,FAIL,230032,b895ace2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A7,2023-06-03 10:53:20,2023-06-03 10:56:58,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,4.373117,PASS,FAIL,230032,b895ace2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A7,2023-06-03 10:53:20,2023-06-03 10:56:58,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.096372,PASS,FAIL,230032,b895ace2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A7,2023-06-03 10:53:20,2023-06-03 10:56:58,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.860804,PASS,FAIL,230032,b895ace2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A7,2023-06-03 10:53:20,2023-06-03 10:56:58,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,FAIL,21.099885,FAIL,FAIL,230032,b895ace2-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01A7,2023-06-03 10:53:20,2023-06-03 10:56:58,STQ236YM3101,monolith_receiver_ft,10023006
