record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Human_Check_Solar_L_ON,PASS,PASS,,PASS,1.621090,PASS,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.320248,PASS,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
3,opmode_get_state,PASS,PASS,,PASS,1.166328,PASS,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
4,Recovery_port_check,PASS,PASS,,PASS,1.147345,PASS,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
5,FW_Version,2023.34.102,2023.34.102,,2023.34.102,0.945443,PASS,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.990435,PASS,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.147346,PASS,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.176328,PASS,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
9,TST_Battery2_V,3.7,4.1,V,4.025,0.000000,PASS,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
10,TST_Battery2_C,-10000,200000,uA,091673.0,0.000000,PASS,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
11,BQ_charger_OFF,PASS,PASS,,PASS,1.151342,PASS,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
12,TST_Battery1,PASS,PASS,,PASS,1.183311,PASS,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
13,TST_Battery1_V,3.7,4.1,V,3.929,0.000000,PASS,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
14,TST_Battery1_C,-10000,200000,uA,054639.0,0.000000,PASS,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
15,TST_Solar_L,PASS,PASS,,PASS,1.202301,PASS,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
16,TEST_Solar_L_Voltage,5,8,V,6.728,0.000000,PASS,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
17,TEST_Solar_L_Current,13000,70000,uA,22.000,0.000000,FAIL,FAIL,902022,E4B85CCD-9FA1-47A4-9AA5-821817C543C2,FK2342MFAT3AB0120,2023-10-18 10:49:25,2023-10-18 10:50:40,STA23AYM5302,monolith_bollard_ft,10023020
