record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.017089,PASS,FAIL,201045,89D65C52-0B6E-470A-87B7-B9083F86A15D,FK2338MCAM3CC0187,2023-09-20 09:07:25,2023-09-20 09:08:56,STQ239YM4301,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.257246,PASS,FAIL,201045,89D65C52-0B6E-470A-87B7-B9083F86A15D,FK2338MCAM3CC0187,2023-09-20 09:07:25,2023-09-20 09:08:56,STQ239YM4301,monolith_cassette_ft,10023023
3,opmode_get_state,PASS,PASS,,PASS,1.123397,PASS,FAIL,201045,89D65C52-0B6E-470A-87B7-B9083F86A15D,FK2338MCAM3CC0187,2023-09-20 09:07:25,2023-09-20 09:08:56,STQ239YM4301,monolith_cassette_ft,10023023
4,FW_Version,2023.34.102,2023.34.102,,2023.34.102,0.927470,PASS,FAIL,201045,89D65C52-0B6E-470A-87B7-B9083F86A15D,FK2338MCAM3CC0187,2023-09-20 09:07:25,2023-09-20 09:08:56,STQ239YM4301,monolith_cassette_ft,10023023
5,HW_Version,Solar,Solar,,Solar,0.962460,PASS,FAIL,201045,89D65C52-0B6E-470A-87B7-B9083F86A15D,FK2338MCAM3CC0187,2023-09-20 09:07:25,2023-09-20 09:08:56,STQ239YM4301,monolith_cassette_ft,10023023
6,BQ_charger_ON,PASS,PASS,,PASS,1.128357,PASS,FAIL,201045,89D65C52-0B6E-470A-87B7-B9083F86A15D,FK2338MCAM3CC0187,2023-09-20 09:07:25,2023-09-20 09:08:56,STQ239YM4301,monolith_cassette_ft,10023023
7,TST_Battery2_V,3.7,4.1,V,3.936,0.000000,PASS,FAIL,201045,89D65C52-0B6E-470A-87B7-B9083F86A15D,FK2338MCAM3CC0187,2023-09-20 09:07:25,2023-09-20 09:08:56,STQ239YM4301,monolith_cassette_ft,10023023
8,TST_Battery2_C,-10000,200000,uA,-00066.0,0.000000,PASS,FAIL,201045,89D65C52-0B6E-470A-87B7-B9083F86A15D,FK2338MCAM3CC0187,2023-09-20 09:07:25,2023-09-20 09:08:56,STQ239YM4301,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,29.000,1.177325,PASS,FAIL,201045,89D65C52-0B6E-470A-87B7-B9083F86A15D,FK2338MCAM3CC0187,2023-09-20 09:07:25,2023-09-20 09:08:56,STQ239YM4301,monolith_cassette_ft,10023023
10,Speaker_Measurement,80,100,dB,94.000000,0.694984,PASS,FAIL,201045,89D65C52-0B6E-470A-87B7-B9083F86A15D,FK2338MCAM3CC0187,2023-09-20 09:07:25,2023-09-20 09:08:56,STQ239YM4301,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000750,PASS,FAIL,201045,89D65C52-0B6E-470A-87B7-B9083F86A15D,FK2338MCAM3CC0187,2023-09-20 09:07:25,2023-09-20 09:08:56,STQ239YM4301,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,10.579766,PASS,FAIL,201045,89D65C52-0B6E-470A-87B7-B9083F86A15D,FK2338MCAM3CC0187,2023-09-20 09:07:25,2023-09-20 09:08:56,STQ239YM4301,monolith_cassette_ft,10023023
13,LTE_19199_Power,-28,-8,dBm,-21.152752,3.067234,PASS,FAIL,201045,89D65C52-0B6E-470A-87B7-B9083F86A15D,FK2338MCAM3CC0187,2023-09-20 09:07:25,2023-09-20 09:08:56,STQ239YM4301,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,0.000000,PASS,FAIL,201045,89D65C52-0B6E-470A-87B7-B9083F86A15D,FK2338MCAM3CC0187,2023-09-20 09:07:25,2023-09-20 09:08:56,STQ239YM4301,monolith_cassette_ft,10023023
15,LTE_23010_Power,-30,-13,dBm,-31.028385,3.058497,FAIL,FAIL,201045,89D65C52-0B6E-470A-87B7-B9083F86A15D,FK2338MCAM3CC0187,2023-09-20 09:07:25,2023-09-20 09:08:56,STQ239YM4301,monolith_cassette_ft,10023023
