record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.015044,PASS,PASS,0,2FB0CD45-5991-4643-8962-3E3FEBCC6B4C,FK2337MCAM3NC0010,2023-09-14 09:53:22,2023-09-14 09:55:27,STQ239YM4201,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,2.282649,PASS,PASS,0,2FB0CD45-5991-4643-8962-3E3FEBCC6B4C,FK2337MCAM3NC0010,2023-09-14 09:53:22,2023-09-14 09:55:27,STQ239YM4201,monolith_cassette_ft,10023023
3,opmode_get_state,PASS,PASS,,PASS,1.150320,PASS,PASS,0,2FB0CD45-5991-4643-8962-3E3FEBCC6B4C,FK2337MCAM3NC0010,2023-09-14 09:53:22,2023-09-14 09:55:27,STQ239YM4201,monolith_cassette_ft,10023023
4,FW_Version,2023.34.102,2023.34.102,,2023.34.102,0.943460,PASS,PASS,0,2FB0CD45-5991-4643-8962-3E3FEBCC6B4C,FK2337MCAM3NC0010,2023-09-14 09:53:22,2023-09-14 09:55:27,STQ239YM4201,monolith_cassette_ft,10023023
5,HW_Version,Solar,Solar,,Solar,0.999428,PASS,PASS,0,2FB0CD45-5991-4643-8962-3E3FEBCC6B4C,FK2337MCAM3NC0010,2023-09-14 09:53:22,2023-09-14 09:55:27,STQ239YM4201,monolith_cassette_ft,10023023
6,BQ_charger_ON,PASS,PASS,,PASS,1.149376,PASS,PASS,0,2FB0CD45-5991-4643-8962-3E3FEBCC6B4C,FK2337MCAM3NC0010,2023-09-14 09:53:22,2023-09-14 09:55:27,STQ239YM4201,monolith_cassette_ft,10023023
7,TST_Battery2_V,3.7,4.1,V,4.033,0.000000,PASS,PASS,0,2FB0CD45-5991-4643-8962-3E3FEBCC6B4C,FK2337MCAM3NC0010,2023-09-14 09:53:22,2023-09-14 09:55:27,STQ239YM4201,monolith_cassette_ft,10023023
8,TST_Battery2_C,-10000,200000,uA,091966.0,0.000000,PASS,PASS,0,2FB0CD45-5991-4643-8962-3E3FEBCC6B4C,FK2337MCAM3NC0010,2023-09-14 09:53:22,2023-09-14 09:55:27,STQ239YM4201,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,26.000,1.188319,PASS,PASS,0,2FB0CD45-5991-4643-8962-3E3FEBCC6B4C,FK2337MCAM3NC0010,2023-09-14 09:53:22,2023-09-14 09:55:27,STQ239YM4201,monolith_cassette_ft,10023023
10,Speaker_Measurement,80,100,dB,94.000000,0.693060,PASS,PASS,0,2FB0CD45-5991-4643-8962-3E3FEBCC6B4C,FK2337MCAM3NC0010,2023-09-14 09:53:22,2023-09-14 09:55:27,STQ239YM4201,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000880,PASS,PASS,0,2FB0CD45-5991-4643-8962-3E3FEBCC6B4C,FK2337MCAM3NC0010,2023-09-14 09:53:22,2023-09-14 09:55:27,STQ239YM4201,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,10.574187,PASS,PASS,0,2FB0CD45-5991-4643-8962-3E3FEBCC6B4C,FK2337MCAM3NC0010,2023-09-14 09:53:22,2023-09-14 09:55:27,STQ239YM4201,monolith_cassette_ft,10023023
13,LTE_19199_Power,-32,-6,dBm,-18.746168,3.065825,PASS,PASS,0,2FB0CD45-5991-4643-8962-3E3FEBCC6B4C,FK2337MCAM3NC0010,2023-09-14 09:53:22,2023-09-14 09:55:27,STQ239YM4201,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,0.000948,PASS,PASS,0,2FB0CD45-5991-4643-8962-3E3FEBCC6B4C,FK2337MCAM3NC0010,2023-09-14 09:53:22,2023-09-14 09:55:27,STQ239YM4201,monolith_cassette_ft,10023023
15,LTE_23010_Power,-28,-8,dBm,-23.940807,3.065025,PASS,PASS,0,2FB0CD45-5991-4643-8962-3E3FEBCC6B4C,FK2337MCAM3NC0010,2023-09-14 09:53:22,2023-09-14 09:55:27,STQ239YM4201,monolith_cassette_ft,10023023
