record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Test_voltage,7.5,8.5,V,7.708490,0.489691,PASS,PASS,0,DA3D6AC9-FECC-41EC-93F6-5B9A5900322B,PF2334MDOL3AA0302,2023-09-15 11:15:44,2023-09-15 11:16:08,STQ239YML201,monolith_solar_panel_left_ft,10023215
2,Test_first_temp_1,23,30,C,25.6,0.000000,PASS,PASS,0,DA3D6AC9-FECC-41EC-93F6-5B9A5900322B,PF2334MDOL3AA0302,2023-09-15 11:15:44,2023-09-15 11:16:08,STQ239YML201,monolith_solar_panel_left_ft,10023215
3,Test_first_temp_2,23,30,C,26.2,0.000000,PASS,PASS,0,DA3D6AC9-FECC-41EC-93F6-5B9A5900322B,PF2334MDOL3AA0302,2023-09-15 11:15:44,2023-09-15 11:16:08,STQ239YML201,monolith_solar_panel_left_ft,10023215
4,Test_Current,0.1,0.15,A,0.110636,4.225375,PASS,PASS,0,DA3D6AC9-FECC-41EC-93F6-5B9A5900322B,PF2334MDOL3AA0302,2023-09-15 11:15:44,2023-09-15 11:16:08,STQ239YML201,monolith_solar_panel_left_ft,10023215
5,Test_Count_Power,0.8,1.2,W,0.852836,0.000000,PASS,PASS,0,DA3D6AC9-FECC-41EC-93F6-5B9A5900322B,PF2334MDOL3AA0302,2023-09-15 11:15:44,2023-09-15 11:16:08,STQ239YML201,monolith_solar_panel_left_ft,10023215
6,Test_second_temp_1,23,30,C,25.6,0.000000,PASS,PASS,0,DA3D6AC9-FECC-41EC-93F6-5B9A5900322B,PF2334MDOL3AA0302,2023-09-15 11:15:44,2023-09-15 11:16:08,STQ239YML201,monolith_solar_panel_left_ft,10023215
7,Test_second_temp_2,23,30,C,26.2,0.000000,PASS,PASS,0,DA3D6AC9-FECC-41EC-93F6-5B9A5900322B,PF2334MDOL3AA0302,2023-09-15 11:15:44,2023-09-15 11:16:08,STQ239YML201,monolith_solar_panel_left_ft,10023215
8,Read_MES_Flat_TEMP1,23,30,C,0,0.000000,PASS,PASS,0,DA3D6AC9-FECC-41EC-93F6-5B9A5900322B,PF2334MDOL3AA0302,2023-09-15 11:15:44,2023-09-15 11:16:08,STQ239YML201,monolith_solar_panel_left_ft,10023215
9,Read_MES_Flat_TEMP2,23,30,C,0,0.000000,PASS,PASS,0,DA3D6AC9-FECC-41EC-93F6-5B9A5900322B,PF2334MDOL3AA0302,2023-09-15 11:15:44,2023-09-15 11:16:08,STQ239YML201,monolith_solar_panel_left_ft,10023215
10,Read_MES_Flat_Voltage,7.5,9,V,0.000000,0.000000,PASS,PASS,0,DA3D6AC9-FECC-41EC-93F6-5B9A5900322B,PF2334MDOL3AA0302,2023-09-15 11:15:44,2023-09-15 11:16:08,STQ239YML201,monolith_solar_panel_left_ft,10023215
11,Read_MES_Flat_Current,0.11,0.15,A,0.000000,0.000000,PASS,PASS,0,DA3D6AC9-FECC-41EC-93F6-5B9A5900322B,PF2334MDOL3AA0302,2023-09-15 11:15:44,2023-09-15 11:16:08,STQ239YML201,monolith_solar_panel_left_ft,10023215
12,Power_difference,0,0.06,W,0,0.000000,PASS,PASS,0,DA3D6AC9-FECC-41EC-93F6-5B9A5900322B,PF2334MDOL3AA0302,2023-09-15 11:15:44,2023-09-15 11:16:08,STQ239YML201,monolith_solar_panel_left_ft,10023215
13,Power_percentage_drop,0,0.06,,0,0.000000,PASS,PASS,0,DA3D6AC9-FECC-41EC-93F6-5B9A5900322B,PF2334MDOL3AA0302,2023-09-15 11:15:44,2023-09-15 11:16:08,STQ239YML201,monolith_solar_panel_left_ft,10023215
