record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.291244,PASS,FAIL,902021,8D9D576C-3133-45F6-9B8F-F03D81053F43,FK2338MFAT3AA0195,2023-09-20 18:14:22,2023-09-20 18:15:37,STA239YM5301,monolith_bollard_ft,10023020
2,opmode_get_state,PASS,PASS,,PASS,1.178273,PASS,FAIL,902021,8D9D576C-3133-45F6-9B8F-F03D81053F43,FK2338MFAT3AA0195,2023-09-20 18:14:22,2023-09-20 18:15:37,STA239YM5301,monolith_bollard_ft,10023020
3,Recovery_port_check,PASS,PASS,,PASS,1.180327,PASS,FAIL,902021,8D9D576C-3133-45F6-9B8F-F03D81053F43,FK2338MFAT3AA0195,2023-09-20 18:14:22,2023-09-20 18:15:37,STA239YM5301,monolith_bollard_ft,10023020
4,FW_Version,2023.34.102,2023.34.102,,2023.34.102,0.953456,PASS,FAIL,902021,8D9D576C-3133-45F6-9B8F-F03D81053F43,FK2338MFAT3AA0195,2023-09-20 18:14:22,2023-09-20 18:15:37,STA239YM5301,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.986439,PASS,FAIL,902021,8D9D576C-3133-45F6-9B8F-F03D81053F43,FK2338MFAT3AA0195,2023-09-20 18:14:22,2023-09-20 18:15:37,STA239YM5301,monolith_bollard_ft,10023020
6,BQ_charger_ON,PASS,PASS,,PASS,1.159406,PASS,FAIL,902021,8D9D576C-3133-45F6-9B8F-F03D81053F43,FK2338MFAT3AA0195,2023-09-20 18:14:22,2023-09-20 18:15:37,STA239YM5301,monolith_bollard_ft,10023020
7,TST_Battery2,PASS,PASS,,PASS,1.181326,PASS,FAIL,902021,8D9D576C-3133-45F6-9B8F-F03D81053F43,FK2338MFAT3AA0195,2023-09-20 18:14:22,2023-09-20 18:15:37,STA239YM5301,monolith_bollard_ft,10023020
8,TST_Battery2_V,3.7,4.1,V,4.016,0.000000,PASS,FAIL,902021,8D9D576C-3133-45F6-9B8F-F03D81053F43,FK2338MFAT3AA0195,2023-09-20 18:14:22,2023-09-20 18:15:37,STA239YM5301,monolith_bollard_ft,10023020
9,TST_Battery2_C,-10000,200000,uA,091966.0,0.000000,PASS,FAIL,902021,8D9D576C-3133-45F6-9B8F-F03D81053F43,FK2338MFAT3AA0195,2023-09-20 18:14:22,2023-09-20 18:15:37,STA239YM5301,monolith_bollard_ft,10023020
10,BQ_charger_OFF,PASS,PASS,,PASS,1.149337,PASS,FAIL,902021,8D9D576C-3133-45F6-9B8F-F03D81053F43,FK2338MFAT3AA0195,2023-09-20 18:14:22,2023-09-20 18:15:37,STA239YM5301,monolith_bollard_ft,10023020
11,TST_Battery1,PASS,PASS,,PASS,1.186268,PASS,FAIL,902021,8D9D576C-3133-45F6-9B8F-F03D81053F43,FK2338MFAT3AA0195,2023-09-20 18:14:22,2023-09-20 18:15:37,STA239YM5301,monolith_bollard_ft,10023020
12,TST_Battery1_V,3.7,4.1,V,3.936,0.000000,PASS,FAIL,902021,8D9D576C-3133-45F6-9B8F-F03D81053F43,FK2338MFAT3AA0195,2023-09-20 18:14:22,2023-09-20 18:15:37,STA239YM5301,monolith_bollard_ft,10023020
13,TST_Battery1_C,-10000,200000,uA,000593.0,0.000000,PASS,FAIL,902021,8D9D576C-3133-45F6-9B8F-F03D81053F43,FK2338MFAT3AA0195,2023-09-20 18:14:22,2023-09-20 18:15:37,STA239YM5301,monolith_bollard_ft,10023020
14,Human_Check_Solar_L_ON,PASS,PASS,,PASS,2.187584,PASS,FAIL,902021,8D9D576C-3133-45F6-9B8F-F03D81053F43,FK2338MFAT3AA0195,2023-09-20 18:14:22,2023-09-20 18:15:37,STA239YM5301,monolith_bollard_ft,10023020
15,TST_Solar_L,PASS,PASS,,PASS,1.187323,PASS,FAIL,902021,8D9D576C-3133-45F6-9B8F-F03D81053F43,FK2338MFAT3AA0195,2023-09-20 18:14:22,2023-09-20 18:15:37,STA239YM5301,monolith_bollard_ft,10023020
16,TEST_Solar_L_Voltage,5,8,V,4.850,0.000000,FAIL,FAIL,902021,8D9D576C-3133-45F6-9B8F-F03D81053F43,FK2338MFAT3AA0195,2023-09-20 18:14:22,2023-09-20 18:15:37,STA239YM5301,monolith_bollard_ft,10023020
