record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.708,9.17439,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,28.0902,0.0,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.268256,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.104353,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,0.962358,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.114362,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.94681,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.110363,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.807073,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.105354,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.555627,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.104525,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,3.116879,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.223263,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.215272,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.279254,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.09735,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.095373,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,299.354761,4.334011,PASS,PASS,0,b88e9ace-0717-11ee-be4d-acde48001122,FK2322MRCM2AA016A,2023-06-03 17:01:51,2023-06-03 17:05:05,STQ236YM3101,monolith_receiver_ft,10023006
