record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.714,9.089788,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.556,0.0,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.249235,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.087173,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,0.85385,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.084268,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.692356,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.080063,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.668651,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.078903,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.736353,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.08282,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.970217,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.21345,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.081766,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.089984,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.13501,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.086298,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,256.288079,4.334011,PASS,PASS,0,b8dedfac-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00E2,2023-06-06 11:23:57,2023-06-06 11:26:59,STQ236YM3101,monolith_receiver_ft,10023006
