record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.73,9.146326,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.7186,0.0,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.625056,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.09828,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.563771,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.090498,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.442143,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.090371,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.874769,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.091388,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,6.033832,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.110351,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,3.789049,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.22526,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.144344,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.224247,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.107361,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.113349,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,276.495497,4.333205,PASS,PASS,0,b8483de0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01BF,2023-06-03 09:26:41,2023-06-03 09:29:59,STQ236YM3101,monolith_receiver_ft,10023006
