record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.73,9.106191,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,31.1338,0.0,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.306234,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.095374,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.566895,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.100358,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.799047,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.095375,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.712084,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.094373,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.794867,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.105368,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,4.30409,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.224266,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.09632,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.22025,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.151293,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.095371,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,263.004572,4.334383,PASS,PASS,0,b9340680-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0193,2023-06-03 13:25:44,2023-06-03 13:29:02,STQ236YM3101,monolith_receiver_ft,10023006
