record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Test_voltage,7,9,V,7.812301,0.439825,PASS,FAIL,24,29C9D9D2-C80F-4E78-8F93-9710D445B2E3,DEDKC12FBSAF0177,2023-06-24 13:45:50,2023-06-24 13:46:11,9999,monolith_solar_panel_left_ft,10023161
2,Test_first_temp_1,23,30,C,26.3,0.000000,PASS,FAIL,24,29C9D9D2-C80F-4E78-8F93-9710D445B2E3,DEDKC12FBSAF0177,2023-06-24 13:45:50,2023-06-24 13:46:11,9999,monolith_solar_panel_left_ft,10023161
3,Test_first_temp_2,23,30,C,25.4,0.000000,PASS,FAIL,24,29C9D9D2-C80F-4E78-8F93-9710D445B2E3,DEDKC12FBSAF0177,2023-06-24 13:45:50,2023-06-24 13:46:11,9999,monolith_solar_panel_left_ft,10023161
4,Test_Current,0.1,0.15,A,0.116561,4.355358,PASS,FAIL,24,29C9D9D2-C80F-4E78-8F93-9710D445B2E3,DEDKC12FBSAF0177,2023-06-24 13:45:50,2023-06-24 13:46:11,9999,monolith_solar_panel_left_ft,10023161
5,Test__Count_Power,0.9,1.2,W,0.910613,0.000000,PASS,FAIL,24,29C9D9D2-C80F-4E78-8F93-9710D445B2E3,DEDKC12FBSAF0177,2023-06-24 13:45:50,2023-06-24 13:46:11,9999,monolith_solar_panel_left_ft,10023161
6,Test_second_temp_1,23,30,C,26.3,0.000000,PASS,FAIL,24,29C9D9D2-C80F-4E78-8F93-9710D445B2E3,DEDKC12FBSAF0177,2023-06-24 13:45:50,2023-06-24 13:46:11,9999,monolith_solar_panel_left_ft,10023161
7,Test_second_temp_2,23,30,C,25.4,0.000000,PASS,FAIL,24,29C9D9D2-C80F-4E78-8F93-9710D445B2E3,DEDKC12FBSAF0177,2023-06-24 13:45:50,2023-06-24 13:46:11,9999,monolith_solar_panel_left_ft,10023161
8,Read_MES_Flat_TEMP1,23,30,C,28.9,0.000000,PASS,FAIL,24,29C9D9D2-C80F-4E78-8F93-9710D445B2E3,DEDKC12FBSAF0177,2023-06-24 13:45:50,2023-06-24 13:46:11,9999,monolith_solar_panel_left_ft,10023161
9,Read_MES_Flat_TEMP2,23,30,C,27.7,0.000000,PASS,FAIL,24,29C9D9D2-C80F-4E78-8F93-9710D445B2E3,DEDKC12FBSAF0177,2023-06-24 13:45:50,2023-06-24 13:46:11,9999,monolith_solar_panel_left_ft,10023161
10,Read_MES_Flat_Voltage,7.5,9,V,7.877985,0.000000,PASS,FAIL,24,29C9D9D2-C80F-4E78-8F93-9710D445B2E3,DEDKC12FBSAF0177,2023-06-24 13:45:50,2023-06-24 13:46:11,9999,monolith_solar_panel_left_ft,10023161
11,Read_MES_Flat_Current,0.1,0.15,A,0.126305,0.000000,PASS,FAIL,24,29C9D9D2-C80F-4E78-8F93-9710D445B2E3,DEDKC12FBSAF0177,2023-06-24 13:45:50,2023-06-24 13:46:11,9999,monolith_solar_panel_left_ft,10023161
12,Power_difference,0,0.05,W,0.084416,0.000000,FAIL,FAIL,24,29C9D9D2-C80F-4E78-8F93-9710D445B2E3,DEDKC12FBSAF0177,2023-06-24 13:45:50,2023-06-24 13:46:11,9999,monolith_solar_panel_left_ft,10023161
13,Power_percentage_drop,0,0.05,,0.092703,0.000000,FAIL,FAIL,24,29C9D9D2-C80F-4E78-8F93-9710D445B2E3,DEDKC12FBSAF0177,2023-06-24 13:45:50,2023-06-24 13:46:11,9999,monolith_solar_panel_left_ft,10023161
