record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Test_voltage,7.5,9,V,7.873200,0.488453,PASS,PASS,0,2C5FC5E7-18E4-4F19-85B3-CEDF1BA9C7A8,DEDKC12FBSAF0327,2023-06-26 14:57:34,2023-06-26 14:57:58,8888,monolith_solar_panel_flat_ft,10023161
2,Test_first_temp_1,23,30,C,27.2,0.000000,PASS,PASS,0,2C5FC5E7-18E4-4F19-85B3-CEDF1BA9C7A8,DEDKC12FBSAF0327,2023-06-26 14:57:34,2023-06-26 14:57:58,8888,monolith_solar_panel_flat_ft,10023161
3,Test_first_temp_2,23,30,C,27.2,0.000000,PASS,PASS,0,2C5FC5E7-18E4-4F19-85B3-CEDF1BA9C7A8,DEDKC12FBSAF0327,2023-06-26 14:57:34,2023-06-26 14:57:58,8888,monolith_solar_panel_flat_ft,10023161
4,Test_Current,0.1,0.15,A,0.118223,4.256574,PASS,PASS,0,2C5FC5E7-18E4-4F19-85B3-CEDF1BA9C7A8,DEDKC12FBSAF0327,2023-06-26 14:57:34,2023-06-26 14:57:58,8888,monolith_solar_panel_flat_ft,10023161
5,Test__Count_Power,0.9,1.2,W,0.930792,0.000000,PASS,PASS,0,2C5FC5E7-18E4-4F19-85B3-CEDF1BA9C7A8,DEDKC12FBSAF0327,2023-06-26 14:57:34,2023-06-26 14:57:58,8888,monolith_solar_panel_flat_ft,10023161
6,Test_second_temp_1,23,30,C,27.2,0.000000,PASS,PASS,0,2C5FC5E7-18E4-4F19-85B3-CEDF1BA9C7A8,DEDKC12FBSAF0327,2023-06-26 14:57:34,2023-06-26 14:57:58,8888,monolith_solar_panel_flat_ft,10023161
7,Test_second_temp_2,23,30,C,27.2,0.000000,PASS,PASS,0,2C5FC5E7-18E4-4F19-85B3-CEDF1BA9C7A8,DEDKC12FBSAF0327,2023-06-26 14:57:34,2023-06-26 14:57:58,8888,monolith_solar_panel_flat_ft,10023161
8,Read_MES_Flat_TEMP1,23,30,C,0,0.000000,PASS,PASS,0,2C5FC5E7-18E4-4F19-85B3-CEDF1BA9C7A8,DEDKC12FBSAF0327,2023-06-26 14:57:34,2023-06-26 14:57:58,8888,monolith_solar_panel_flat_ft,10023161
9,Read_MES_Flat_TEMP2,23,30,C,0,0.000000,PASS,PASS,0,2C5FC5E7-18E4-4F19-85B3-CEDF1BA9C7A8,DEDKC12FBSAF0327,2023-06-26 14:57:34,2023-06-26 14:57:58,8888,monolith_solar_panel_flat_ft,10023161
10,Read_MES_Flat_Voltage,7.5,9,V,0.000000,0.000000,PASS,PASS,0,2C5FC5E7-18E4-4F19-85B3-CEDF1BA9C7A8,DEDKC12FBSAF0327,2023-06-26 14:57:34,2023-06-26 14:57:58,8888,monolith_solar_panel_flat_ft,10023161
11,Read_MES_Flat_Current,0.1,0.15,A,0.000000,0.000000,PASS,PASS,0,2C5FC5E7-18E4-4F19-85B3-CEDF1BA9C7A8,DEDKC12FBSAF0327,2023-06-26 14:57:34,2023-06-26 14:57:58,8888,monolith_solar_panel_flat_ft,10023161
12,Power_difference,0,0.05,W,0,0.000000,PASS,PASS,0,2C5FC5E7-18E4-4F19-85B3-CEDF1BA9C7A8,DEDKC12FBSAF0327,2023-06-26 14:57:34,2023-06-26 14:57:58,8888,monolith_solar_panel_flat_ft,10023161
13,Power_percentage_drop,0,0.05,,0,0.000000,PASS,PASS,0,2C5FC5E7-18E4-4F19-85B3-CEDF1BA9C7A8,DEDKC12FBSAF0327,2023-06-26 14:57:34,2023-06-26 14:57:58,8888,monolith_solar_panel_flat_ft,10023161
